fc
sc
fv
sc
tsv
vf
Alemannia
Germania
Teutonia
Bavaria
Borussia
Eintracht
Concordia
Union
Fortuna
Victoria
Viktoria
Kickers
werder
Hertha
Arminia
amicitia
Olympia
Wacker
rapid
rapide
vorwaerts
dynamo
dinamo
athletic
athletico
